day_label,date,activity,type,time_1,timezone_1_label
October 23,2025-10-23,Arrivals & Check-in (30min),break,08:30,"MDT"
October 23,2025-10-23,"Welcome (Coordinator)",activity,09:00,"MDT"
October 23,2025-10-23,Module 1: Getting to Know R (Dr. Linglong Kong),activity,09:30,"MDT"
October 23,2025-10-23,Break (30min),break,10:30,"MDT"
October 23,2025-10-23,Module 1 Lab (Dr. Linglong Kong),activity,11:00,"MDT"
October 23,2025-10-23,Lunch (1h),break,13:00,"MDT"
October 23,2025-10-23,Module 2: Exploring your data in R (Dr. Linglong Kong),activity,14:00,"MDT"
October 23,2025-10-23,Break (30min),break,15:00,"MDT"
October 23,2025-10-23,Module 2 Lab (Dr. Linglong Kong),activity,15:30,"MDT"
October 23,2025-10-23,Finished,break,17:30,"MDT"
October 24,2025-10-24,Arrivals (30min),break,08:30,"MDT"
October 24,2025-10-24,Module 3 - Loops and Functions in R (Dr. Linglong Kong),activity,09:00,"MDT"
October 24,2025-10-24,Break (30min),break,10:00,"MDT"
October 24,2025-10-24,Module 3 Lab (Dr. Linglong Kong),activity,10:30,"MDT"
October 24,2025-10-24,Class photo + Lunch (1h),break,12:30,"MDT"
October 24,2025-10-24,Module 4 - Linear Regression (Dr. Linglong Kong),activity,13:30,"MDT"
October 24,2025-10-24,Break (30min),break,14:30,"MDT"
October 24,2025-10-24,Module 4 Lab (Dr. Linglong Kong),activity,15:00,"MDT"
October 24,2025-10-24,Survey & Closing Remarks,activity,17:00,"MDT"
October 24,2025-10-24,Finished,break,17:30,"MDT"
